Sousa, Pedro
Araujo, Oliver
Cardoso, Heitor
Oliveira, Jack
Morais, Heitor
Cavalcante, Harry
Santos, Charlie
Santos, Rafael
Alves, Lucas
Cavalcante, Matheus
Fernandes, Noah
Teixeira, Rafael
Melo, George
Fernandes, Noah
Morais, Pedro
Rodrigues, Matheus
Melo, Pedro
Carvalho, Jack
Oliveira, Pedro
Santos, Matheus
Rocha, Arthur
Carvalho, Arthur
Araujo, Harry
Dias, Heitor
Azevedo, Jack
Gomes, Miguel
Rodrigues, William
Dias, Bernardo
Montes, Charlie
Correia, George
Melo, Thomas
Cavalcante, Thomas
Melo, George
Rodrigues, Rafael
Silva, Jacob
Santos, George
Barbosa, Davi
Gomes, Charlie
Oliveira, Miguel
Carvalho, George
Araujo, William
Ribeiro, Noah
Morais, Rafael
Carvalho, Harry
Ferreira, Charlie
Martins, Matheus
Gomes, Thomas
Santos, Pedro
Costa, Oliver
Melo, Gabriel
Teixeira, Oliver
Barbosa, Miguel
Dias, Oliver
Santos, Rafael
Melo, Pedro
Rodrigues, Rafael
Azevedo, Jack
Barbosa, Bernardo
Lima, Thomas
Carvalho, Gabriel
Oliveira, Pedro
Gomes, Bernardo
Ferreira, William
Montes, Arthur
Rocha, Rafael
Schmitz, Davi
Oliveira, Pedro
Ferreira, George
Barbosa, Miguel
Cardoso, Charlie
Montes, Jack
Cavalcante, Bernardo
Fernandes, Charlie
Barbosa, Charlie
